predict,p1,p2,p3,p4,p5,p6,p7,School Name,Year of Tour,W-L%,SRS,SOS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,Round Reached,Region
7,0.126228176,0.090162983,0.05409779,0.05409779,0.020028366,0.001039584,0.654345311,Virginia,2018-'19,0.921,25.46,10.15,974,2056,0.474,321,813,0.395,445,598,0.744,342,1326,544,211,149,7,South
6,0.06174326,0.020581087,0.144067607,0.041162173,0.002277825,0.728381513,0.001786535,Texas Tech,2018-'19,0.816,22.79,9.53,990,2110,0.469,277,759,0.365,508,694,0.732,315,1297,518,278,186,6,West
5,0,0.079265058,0.158530116,0.047559035,0.633743012,0.063673653,0.017229127,Auburn,2018-'19,0.75,20.84,10.92,1097,2439,0.45,454,1204,0.377,540,760,0.711,457,1369,572,369,190,5,Midwest
5,0,0.069887702,0.209663107,0.076876473,0.601803161,0.005309061,0.036460496,Michigan State,2018-'19,0.821,24.93,12.34,1071,2230,0.48,319,844,0.378,564,749,0.753,414,1579,715,201,205,5,East
4,0,0.081505112,0.145544843,0.638941859,0.097947652,0.034797136,0.001263397,Duke,2018-'19,0.842,26.9,11.98,1157,2418,0.478,278,903,0.308,551,803,0.686,495,1567,606,346,257,4,East
4,0,0.01644345,0.197321396,0.674181436,0.067202178,0.039313311,0.005538231,Gonzaga,2018-'19,0.892,27.79,5.01,1177,2239,0.526,287,790,0.363,602,791,0.761,354,1443,668,278,204,4,West
4,0.04144637,0.16578548,0.103615925,0.683865106,0.002293552,0.001194697,0.001798869,Kentucky,2018-'19,0.811,21.43,10.29,978,2050,0.477,215,607,0.354,635,859,0.739,427,1428,501,220,176,4,Midwest
4,0.017822238,0.213866856,0.142577904,0.577440511,0.04355771,0.003187728,0.001547054,Purdue,2018-'19,0.722,21.4,11.99,967,2145,0.451,365,977,0.374,461,641,0.719,421,1341,518,220,143,4,South
3,0.040418455,0.121255364,0.767950641,0.06101262,0.00223667,0.005371995,0.001754255,Florida State,2018-'19,0.784,17.99,10.26,960,2171,0.442,272,819,0.332,579,778,0.744,418,1391,475,266,161,3,West
3,0.037456417,0.206010293,0.692943712,0.037813145,0.002072757,0.022077981,0.001625696,Houston,2018-'19,0.892,18.91,4.61,982,2203,0.446,333,939,0.355,490,697,0.703,448,1502,548,240,161,3,Midwest
3,0.041252128,0.041252128,0.845668633,0.06227107,0.002282803,0.005482798,0.001790439,LSU,2018-'19,0.8,16.5,9.16,988,2162,0.457,236,740,0.319,603,802,0.752,460,1355,452,308,148,3,East
3,0.059695398,0.198984658,0.656649373,0.059695398,0.002202276,0.001147152,0.021625746,Michigan,2018-'19,0.811,21.82,10.55,941,2102,0.448,287,839,0.342,406,579,0.701,299,1307,512,225,149,3,West
3,0,0.197878971,0.747542779,0.022405344,0.002433376,0.027830994,0.001908535,Oregon,2018-'19,0.658,13.95,6.13,958,2126,0.451,295,840,0.351,450,624,0.721,361,1307,501,290,162,3,South
3,0,0.070586005,0.776446057,0.117643342,0.002604051,0.030678146,0.002042398,Tennessee,2018-'19,0.838,21.55,10.16,1106,2231,0.496,262,714,0.367,561,744,0.754,379,1391,660,221,199,3,South
3,0,0.128240594,0.726696701,0.064120297,0.072592511,0.006494582,0.001855314,UNC,2018-'19,0.806,23.94,11.35,1118,2410,0.464,312,862,0.362,541,728,0.743,477,1589,678,252,120,3,Midwest
3,0.209741114,0.022699255,0.686425464,0.019067374,0.002110294,0.020166613,0.039789885,Virginia Tech,2018-'19,0.743,19.28,7.79,893,1900,0.47,327,831,0.394,461,606,0.761,310,1142,531,236,78,3,East
2,0.211531969,0.740361891,0.042306394,4.03E-04,0.002341144,0.001219488,0.001836196,Baylor,2018-'19,0.588,13.38,9.26,869,1966,0.442,274,803,0.341,430,635,0.677,450,1281,473,209,159,2,West
2,0.04521508,0.655618663,0.158252781,4.31E-04,0.025109645,0.113410771,0.00196244,Buffalo,2018-'19,0.889,15.56,2.62,1083,2344,0.462,344,1022,0.337,527,767,0.687,452,1470,599,263,140,2,West
2,0.238691122,0.755855219,0,3.79E-04,0.002201442,0.001146717,0.001726625,Florida,2018-'19,0.556,15.42,11.22,857,2015,0.425,291,872,0.334,435,603,0.721,375,1201,437,257,131,2,West
2,0.220876455,0.706804657,0.022087646,0.044596008,0.002444565,0.001273359,0.001917311,Iowa,2018-'19,0.657,14.27,9.84,914,2006,0.456,285,782,0.364,627,849,0.739,357,1246,542,211,112,2,South
2,0.07528884,0.734066194,0.094111051,0.026709613,0.064823861,0.003366586,0.001633856,Kansas,2018-'19,0.722,18.35,12.79,989,2128,0.465,260,743,0.35,487,691,0.705,374,1376,478,243,139,2,Midwest
2,0.312047907,0.643598808,0.019502994,3.71E-04,0.002158507,0.001124353,0.021195945,Liberty,2018-'19,0.806,5.27,-3.88,963,1977,0.487,322,873,0.369,406,524,0.775,270,1174,532,223,96,2,East
2,0.159127415,0.815528,0.019890927,3.79E-04,0.002201442,0.001146717,0.001726625,Maryland,2018-'19,0.676,16.01,10.09,858,1909,0.449,247,707,0.349,466,627,0.743,378,1336,447,148,163,2,East
2,0.150166558,0.769603612,0.01877082,0.056669999,0.002077473,0.001082143,0.001629395,Minnesota,2018-'19,0.611,12.52,11.27,887,2039,0.435,191,603,0.317,578,848,0.682,402,1314,523,175,140,2,East
2,0.227865091,0.745740297,0,0.02110958,0.002292647,0.001194226,0.00179816,Murray State,2018-'19,0.848,8.96,-3.11,988,2007,0.492,258,731,0.353,493,673,0.733,351,1247,591,249,149,2,West
2,0.158105701,0.835701564,0,4.30E-04,0.002499779,0.00130212,0.001960616,Ohio State,2018-'19,0.571,13.89,11,839,1931,0.434,264,774,0.341,477,650,0.734,328,1215,494,206,85,2,Midwest
2,0.191458763,0.702015463,0.021273196,0.051460874,0.030718686,0.001226406,0.001846613,Oklahoma,2018-'19,0.588,15.3,12.21,883,1975,0.447,226,654,0.346,431,618,0.697,305,1263,430,203,102,2,South
2,0.303616906,0.686752526,0,3.61E-04,0.002100188,0.005521721,0.00164721,UCF,2018-'19,0.727,13.37,5.58,819,1763,0.465,229,628,0.365,518,798,0.649,315,1215,439,189,150,2,East
2,0.234676566,0.613769481,0.126364305,0.018395892,0.001997922,0.003228832,0.001567002,UC-Irvine,2018-'19,0.838,5.7,-2.3,987,2159,0.457,252,701,0.359,449,640,0.702,429,1471,479,210,153,2,South
2,0.278293851,0.667905243,0,0.018906312,0.002053357,0.031230755,0.00161048,Villanova,2018-'19,0.722,14.33,7.97,884,2019,0.438,380,1081,0.352,506,695,0.728,368,1253,503,194,106,2,South
2,0.20385042,0.604138519,0.074127426,0.111544126,0.002051026,0.002679832,0.001608652,Washington ,2018-'19,0.75,12.01,7.01,883,1956,0.451,273,780,0.35,472,679,0.695,334,1129,419,323,206,2,Midwest
2,0.127258602,0.56357381,0.090899002,0.018526082,0.116285092,0.023703958,0.059753453,Wofford,2018-'19,0.857,13.92,0.8,1044,2132,0.49,385,929,0.414,406,577,0.704,365,1232,528,233,105,2,Midwest
1,0.807476314,0.051869138,0.033644846,0.06761012,0.001861833,0.036077483,0.001460265,Abilene Christian,2018-'19,0.794,-1.91,-7.34,897,1911,0.469,251,660,0.38,457,642,0.712,325,1110,525,297,93,1,Midwest
1,0.91325724,0.060883816,0.020294605,3.87E-04,0.002246119,0.00116999,0.001761667,Arizona State,2018-'19,0.676,10.28,6.04,899,2012,0.447,240,714,0.336,600,882,0.68,399,1351,459,213,109,1,West
1,0.862084233,0.086208423,0.021552106,4.11E-04,0.002385294,0.003936498,0.023422929,Belmont,2018-'19,0.818,9.12,-2.6,1042,2094,0.498,343,922,0.372,441,598,0.737,286,1275,645,220,125,1,East
1,0.968114276,0.026238153,0,3.92E-04,0.002279717,0.00118749,0.001788018,Bradley,2018-'19,0.571,-0.08,-0.9,812,1874,0.433,240,653,0.368,465,672,0.692,313,1195,423,186,132,1,East
1,0.855309853,0.119345561,0.019890927,3.79E-04,0.002201442,0.001146717,0.001726625,Cincinnati,2018-'19,0.8,14.53,5.5,872,2018,0.432,232,673,0.345,534,758,0.704,442,1264,466,214,155,1,South
1,0.90392966,0.02388432,0.022047065,4.20E-04,0.002440074,0.001271019,0.046007918,Colgate,2018-'19,0.686,1.23,-3.83,955,1995,0.479,320,815,0.393,418,563,0.742,322,1240,541,213,121,1,South
1,0.929809515,0.064766367,0,3.77E-04,0.002189517,0.001140506,0.001717273,Fairleigh Dickinson,2018-'19,0.29,-10.2,-7.14,761,1755,0.434,259,740,0.35,291,420,0.693,273,968,401,202,63,1,West
1,0.972496353,0.021948702,0,3.86E-04,0.002242327,0.001168014,0.001758692,Gardner-Webb,2018-'19,0.657,-2.61,-4.43,955,1962,0.487,281,719,0.391,527,741,0.711,271,1190,502,238,101,1,South
1,0.970786053,0.021910102,0,3.85E-04,0.002238383,0.00292463,0.001755599,Georgia State,2018-'19,0.706,2.44,0.65,903,1968,0.459,330,859,0.384,462,694,0.666,273,1110,415,269,158,1,Midwest
1,0.949592696,0.044983186,0,3.77E-04,0.002189517,0.001140506,0.001717273,Iona,2018-'19,0.515,-4.78,-5.5,857,1897,0.452,297,845,0.351,521,699,0.745,283,1152,432,223,90,1,Midwest
1,0.878121817,0.092433875,0.023108469,4.40E-04,0.002557545,0.00133221,0.002005923,Iowa State,2018-'19,0.657,18.07,9.3,974,2047,0.476,294,811,0.363,450,615,0.732,327,1230,527,247,160,1,Midwest
1,0.950173423,0.044283665,0,3.85E-04,0.00223747,0.001165484,0.001754883,Kansas State,2018-'19,0.735,15.39,9.18,806,1878,0.429,241,721,0.334,383,574,0.667,325,1137,464,256,76,1,South
1,0.705573583,0.253282825,0.036183261,3.45E-04,0.002002303,0.001042987,0.001570438,Louisville,2018-'19,0.588,17.28,11.04,854,1967,0.434,294,860,0.342,534,687,0.777,345,1297,458,149,99,1,East
1,0.819125756,0.156023953,0.019502994,3.71E-04,0.002158507,0.001124353,0.001692951,Marquette,2018-'19,0.706,14.78,6.96,893,1969,0.454,319,822,0.388,524,692,0.757,331,1292,456,168,145,1,West
1,0.891947172,0.074328931,0.02477631,4.72E-04,0.002742135,0.003582823,0.0021507,Mississippi State,2018-'19,0.676,15.96,9.07,936,1982,0.472,292,774,0.377,464,647,0.717,393,1215,481,274,172,1,East
1,0.971334821,0.022875639,0,4.02E-04,0.002337025,0.001217342,0.001832965,Montana,2018-'19,0.743,1.5,-5.05,975,1983,0.492,287,763,0.376,428,621,0.689,293,1176,510,229,106,1,West
1,0.895091707,0.099454634,0,3.79E-04,0.002201442,0.001146717,0.001726625,Nevada,2018-'19,0.853,16,2.68,924,1999,0.462,297,855,0.347,578,816,0.708,325,1274,498,211,134,1,West
1,0.877634738,0.058508983,0.039005988,0.01987448,0.002158507,0.001124353,0.001692951,New Mexico State,2018-'19,0.857,10.05,-2.38,962,2092,0.46,326,977,0.334,484,714,0.678,445,1343,514,197,91,1,Midwest
1,0.833961591,0.07245411,0.035487727,3.38E-04,0.055195405,0.001022939,0.00154025,North Dakota State,2018-'19,0.543,-4.01,-2.07,874,1926,0.454,332,910,0.365,476,613,0.777,229,1105,402,160,87,1,East
1,0.950570568,0.00531174,0.019399399,3.70E-04,0.021546441,0.001118381,0.001683959,Northeastern,2018-'19,0.676,3.95,-0.7,880,1848,0.476,328,858,0.382,476,634,0.751,237,1075,480,211,74,1,Midwest
1,0.95384645,0.040589211,0,3.87E-04,0.002246119,0.00116999,0.001761667,Northern Kentucky,2018-'19,0.743,4.67,-2.39,979,2047,0.478,306,844,0.363,483,725,0.666,364,1298,592,218,139,1,West
1,0.895682026,0.060036658,0.038942697,3.71E-04,0.002155004,0.001122529,0.001690204,Old Dominion,2018-'19,0.743,3.74,-1.18,823,2026,0.406,264,756,0.349,388,585,0.663,418,1365,439,197,160,1,South
1,0.782435738,0.094446839,0.03639236,0.018542774,0.002013874,0.001049015,0.0651194,Ole Miss,2018-'19,0.606,12.32,8.13,876,1906,0.46,272,760,0.358,461,589,0.783,322,1128,475,235,118,1,South
1,0.776763063,0.099161242,0.099161242,0.016841671,0.001829123,0.004809049,0.00143461,Saint Louis,2018-'19,0.639,5.06,2.23,855,2052,0.417,205,675,0.304,484,809,0.598,492,1428,460,254,145,1,East
1,0.879085454,0.097082386,0.018703946,3.56E-04,0.002070072,0.001078288,0.00162359,Saint Mary's,2018-'19,0.647,12.58,4.4,899,1905,0.472,253,670,0.378,412,555,0.742,329,1180,341,201,87,1,South
1,0.852966698,0.142161116,0,3.38E-04,0.001966722,0.001024453,0.001542531,Seton Hall,2018-'19,0.588,10.25,8.34,888,2021,0.439,240,741,0.324,492,697,0.706,361,1213,459,235,132,1,Midwest
1,0.86778208,0.044205953,0.040361957,3.84E-04,0.002233543,0.043280264,0.001751803,Syracuse,2018-'19,0.588,13.73,10.09,808,1907,0.424,274,824,0.333,480,701,0.685,363,1174,408,278,162,1,West
1,0.926047679,0.067759586,0,4.30E-04,0.002499779,0.00130212,0.001960616,Utah State,2018-'19,0.8,11.98,0.89,959,2038,0.471,274,772,0.355,559,747,0.748,377,1405,598,215,147,1,Midwest
1,0.799547201,0.124980981,0.017381461,0.017381461,0.001923705,0.002513477,0.036271714,VCU,2018-'19,820,1872,0.438,820,1872,0.438,235,771,0.305,469,669,0.701,358,1208,450,263,148,1,East
1,0.951160779,0.043406147,0,3.77E-04,0.002193132,0.001142389,0.001720108,Vermont,2018-'19,0.794,4.88,-4.18,864,1887,0.458,273,761,0.359,507,678,0.748,304,1194,399,188,136,1,West
1,0.803315655,0.153826402,0,3.26E-04,0.001891649,0.039157085,0.00148365,Wisconsin,2018-'19,0.676,17.9,11.01,874,1945,0.449,241,672,0.359,344,531,0.648,283,1197,430,177,140,1,South
1,0.970389879,0.024067209,0,3.85E-04,0.00223747,0.001165484,0.001754883,Yale,2018-'19,0.733,5.52,-1.24,893,1812,0.493,230,634,0.363,411,557,0.738,259,1157,503,177,131,1,East
